,event_date,year,month,day,country_code,latitude,longitude,witness,issue
18048,2020-07-09,2020,7,9,ES,41.5376,2.42881,Laura Blanco-Sierra;Simone Mariani;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18050,2021-06-17,2021,6,17,ES,41.66788,2.74879,Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18051,2020-07-17,2020,7,17,ES,41.45524,2.25438,Ignacio Ruiz-Arrondo;Laura Blanco-Sierra;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18053,2018-08-02,2018,8,2,ES,41.54384,2.11458,Daniel Bravo-Barriga;Maria Angeles Puig;Santi Escartin Peña;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18054,2020-07-02,2020,7,2,ES,38.59809,-0.05884,Isis Sanpera-Calbet;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18055,2020-07-18,2020,7,18,ES,41.35068,2.02747,Laura Blanco-Sierra;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18057,2021-07-26,2021,7,26,IT,45.93619,10.29403,Karin Bakran-Lebl;Gábor Kemenesi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18058,2020-07-16,2020,7,16,ES,41.53908,2.43498,Isis Sanpera-Calbet;Maria Angeles Puig;Simone Mariani;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18060,2021-08-11,2021,8,11,ES,41.57242,1.97829,Simone Mariani;Martina Ferraguti;Roger Eritja;Isis Sanpera-Calbet,CONTINENT_DERIVED_FROM_COORDINATES
18062,2021-06-17,2021,6,17,ES,41.67907,2.80553,Ignacio Ruiz-Arrondo;Mikel Bengoa Paulis;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18063,2020-09-09,2020,9,9,ES,38.34146,-0.51357,Francisco Collantes;Isis Sanpera-Calbet;Rafael Gutiérrez-López;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18064,2021-07-24,2021,7,24,IT,46.08719,13.19843,Mihaela Kavran;Ognyan Mikov;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18065,2018-07-15,2018,7,15,ES,41.6339,2.17056,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18066,2018-08-26,2018,8,26,ES,41.6836,2.7996,Maria Angeles Puig;Daniel Bravo-Barriga;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18067,2019-07-26,2019,7,26,HN,14.91879,-88.23441,Mikel Bengoa Paulis;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18068,2019-10-08,2019,10,8,ES,38.34489,-0.62768,Mikel Bengoa Paulis;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18069,2020-12-07,2020,12,7,IT,44.49703,11.06384,Karin Bakran-Lebl;Elton Rogozi;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18070,2021-09-01,2021,9,1,HU,47.43407,19.16408,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18071,2019-10-13,2019,10,13,ES,38.34493,-0.6277,Ignacio Ruiz-Arrondo;Maria Angeles Puig;Rosario Melero-Alcíbar;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18074,2019-10-06,2019,10,6,ES,39.48832,-0.36539,Ignacio Ruiz-Arrondo;Sarah Delacour;Roger Eritja;Maria Angeles Puig,CONTINENT_DERIVED_FROM_COORDINATES
18075,2021-06-26,2021,6,26,ES,41.69391,2.72831,Ignacio Ruiz-Arrondo;Sarah Delacour;Martina Ferraguti;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18078,2021-06-21,2021,6,21,IT,41.59817,12.53809,Gábor Kemenesi;Mihaela Kavran;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18079,2020-04-30,2020,4,30,ES,41.43772,2.15927,Sarah Delacour;Ignacio Ruiz-Arrondo;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18080,2020-09-21,2020,9,21,ES,41.5351,2.43621,Sarah Delacour;Simone Mariani;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18081,2020-09-13,2020,9,13,ES,36.662,-4.54183,Ignacio Ruiz-Arrondo;Rafael Gutiérrez-López;Maria Angeles Puig;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18083,2020-06-24,2020,6,24,ES,39.57787,2.42053,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Simone Mariani;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18085,2020-05-09,2020,5,9,ES,41.65421,2.22596,Maria Angeles Puig;Sarah Delacour;Roger Eritja;Ignacio Ruiz-Arrondo,CONTINENT_DERIVED_FROM_COORDINATES
18086,2020-09-22,2020,9,22,ES,41.4063,2.20276,Sarah Delacour;Simone Mariani;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18087,2021-06-12,2021,6,12,ES,41.52853,2.3544,Mikel Bengoa Paulis;Ignacio Ruiz-Arrondo;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18088,2021-08-21,2021,8,21,ES,38.96522,-0.18971,Ignacio Ruiz-Arrondo;Isis Sanpera-Calbet;Carlos Barceló;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18089,2018-06-20,2018,6,20,ES,41.01859,0.9522,Maria Angeles Puig;Santi Escartin Peña;Sarah Delacour;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18090,2021-06-21,2021,6,21,ES,38.07279,-0.65131,Ignacio Ruiz-Arrondo;Mikel Alexander González;Isis Sanpera-Calbet;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18091,2021-07-27,2021,7,27,ES,39.42324,-0.60765,Laura Blanco-Sierra;Ignacio Ruiz-Arrondo;Santi Escartin Peña;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18092,2020-07-23,2020,7,23,ES,41.18454,1.20785,Laura Blanco-Sierra;Carlos Barceló;Francisco Collantes;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18095,2019-09-23,2019,9,23,ES,41.55089,1.95411,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Rosario Melero-Alcíbar;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18097,2018-06-19,2018,6,19,ES,41.35193,2.0258,Rosario Melero-Alcíbar;Maria Angeles Puig;Roger Eritja;Santi Escartin Peña,CONTINENT_DERIVED_FROM_COORDINATES
18103,2020-07-20,2020,7,20,ES,41.41397,2.13995,Maria Angeles Puig;Sarah Delacour;Laura Blanco-Sierra;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
18105,2018-08-30,2018,8,30,ES,38.35915,-0.48437,Maria Angeles Puig;Ignacio Ruiz-Arrondo;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
